"","site","startyear","moisture_1","moisture_2","moisture_3","moisture_4","moisture_5","moisture_6","moisture_7","moisture_8","moisture_9","moisture_10","moisture_11","moisture_12"
"1","ME",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","IA",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GSP_LI",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","GSP_BI",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CM",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CH",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","B1",2021,0.249008803763441,0.224127083333333,0.239376075268817,0.228912430555556,0.229750100806452,0.226848633093525,0.243163911290323,0.241288340053763,0.234899895833333,0.229613575268817,0.223530833333333,0.23342752016129
"8","B2",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ME",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","IA",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","GSP_LI",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","GSP_BI",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CM",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CH",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","B1",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","B2",2021,0.350686122311828,0.300471354166667,0.331230880376344,0.316766388888889,0.302028024193548,0.270331684491979,NA,NA,0.279949520766773,0.281100739247312,0.262331319444444,0.297966801075269
"17","ME",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","IA",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","GSP_LI",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","GSP_BI",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CM",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","CH",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","B1",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","B2",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ME",2021,0.212090893817204,0.216652827380952,0.204748555107527,0.228238506944444,0.1683875,0.186124529569892,0.21013497983871,0.309953864247312,0.197569756944444,0.203825436827957,0.166744479166667,0.175775033602151
"26","IA",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","GSP_LI",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","GSP_BI",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CM",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CH",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","B1",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","B2",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ME",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","IA",2021,NA,NA,NA,NA,NA,0.413945285359801,0.363109677419355,0.38515809811828,0.294318229166667,0.350099193548387,0.309538229166667,0.29416819221968
"35","GSP_LI",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","GSP_BI",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CM",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CH",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","B1",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","B2",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ME",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","IA",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","GSP_LI",2021,0.472392372311828,0.462266889880952,0.445103629032258,0.443794895833333,0.401774731182796,0.412623649078195,0.429650033602151,0.446423958333333,0.421497638888889,0.426879805107527,0.410130902777778,0.427404334677419
"44","GSP_BI",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CM",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CH",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","B1",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","B2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ME",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","IA",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","GSP_LI",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","GSP_BI",2021,NA,NA,NA,NA,NA,0.260056666666667,NA,NA,NA,NA,NA,NA
"53","CM",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CH",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","B1",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","B2",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ME",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","IA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","GSP_LI",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","GSP_BI",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CM",2021,0.462071942204301,0.463042447916667,0.451549798387097,0.446528993055556,0.436244321236559,0.434868568534774,0.440876948924731,0.446449428763441,0.427647222222222,0.435800672043011,0.442679201388889,0.447682325268817
"62","CH",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","B1",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","B2",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ME",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","IA",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","GSP_LI",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","GSP_BI",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CM",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CH",2021,0.316089079301075,0.289271851851852,NA,NA,NA,0.338369858989424,0.320487169811321,NA,NA,0.279346706586826,0.265073993055556,0.287629099462366
"71","B1",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","B2",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
